0;Année;Titre;Rôle
1;1956;Rencontre à Paris (Meeting in Paris);Uncredited
2;1958;Une balle dans le canon (A Bullet in the Gun Barrel);Léopold
3;1961;Vingt mille lieues sur la terre (20...000 Leagues Across the Land);Fernand
4;1961;Le Capitaine Fracasse;Malartic
5;1962;Le Soleil dans l'oeil (Sun in Your Eyes)[6];Cameo appearance
6;1962;Le Masque de fer (The Iron Mask);Lastréaumont
7;1962;Cartouche (Swords of Blood);La Taupe
8;1963;The Bread Peddler;Ovide Soliveau
9;1963;Symphonie pour un massacre [fr] (Symphony for a Massacre)[8];Jabeke
10;1963;La Foire aux cancres [fr] (The Blockhead Fair);Sigoules
11;1963;Fort-du-fou (Outpost in Indo-china)[7];Noyelles
12;1964;Les Pieds nickelés [fr];Croquignol
13;1964;Du grabuge chez les veuves [fr] (Trouble Among Widows);inspector Laforêt
14;1964;Angélique;François Desgrez
15;1965;Merveilleuse Angélique (Angelique: The Road to Versailles);François Desgrez
16;1965;Les Tribulations d'un chinois en Chine (Up to His Ears);Leon
17;1966;À cœur joie (Two Weeks in September);Philippe
18;1966;Who Are You... Polly Maggoo? (Who Are You... Polly Magoo?);Grégoire Pecque
19;1966;Angélique et le roy (Angelique and the King);François Desgrez
20;1967;Le Dimanche de la vie [fr];Capitaine Bordeille
21;1968;Pour un amour lointain [fr];Guillaume
22;1968;Ne jouez pas avec les Martiens (Don't Play with Martians);René Mastier
23;1969;Le Temps de mourir (The Time to Die);Hervé Breton
24;1969;Le Diable par la queue [fr] (The Devil by the Tail);Georges... comte de Coustines
25;1970;La Liberté en croupe [fr];Moss
26;1970;Céleste [fr];Georges Cazenave
27;1972;Les Feux de la chandeleur (Hearth Fires);Alexandre Boursault
28;1972;Le Grand blond avec une chaussure noire (The Tall Blond Man with One Black Shoe);Colonel Louis Toulouse
29;1972;"L'Œuf [fr][9] (""The Egg"")";Victor Dugommier
30;1973;Salut l'artiste (Hail The Artist);Clément
31;1973;Le Complot [fr] (The Conspiracy);Dominic
32;1973;L'Héritier (The Inheritor);André Berthier
33;1973;Dio... sei proprio un padreterno! (Mean Frank and Crazy Tony);Louis Annunziata
34;1973;Bel ordure [fr] (Lovely Swine);the police inspector
35;1974;Retour du grand blond (The Return of the Tall Blond Man with One Black Shoe);Colonel Toulouse
36;1974;Que la fête commence... (Let Joy Reign Supreme);Dubois
37;1974;Mio Dio... come sono caduta in basso! (Till Marriage Do Us Part);Baron Henri De Sarcey
38;1974;Le fantôme de la liberté (The Phantom of Liberty);Monsieur Legendre
39;1974;L'Horloger de Saint-Paul (The Clockmaker);Inspector Guilboud
40;1974;Isabelle devant le désir [fr] (Isabelle and Lust);Monsieur Vaudois
41;1974;Comment réussir quand on est con et pleurnichard (How to Make Good When One Is a Jerk and a Crybaby);Foisnard
42;1975;Un divorce heureux (A Happy Divorce);Jean-Baptiste Morin
43;1975;Les vécés étaient fermés de l'intérieur [fr];Commissaire Pichard
44;1975;Les innocents aux mains sales (Innocents with Dirty Hands);Albert Légal
45;1976;Un éléphant ça trompe énormément (An Elephant Can Be Extremely Deceptive);Étienne Dorsay
46;1976;Les Magiciens (Death Rite);Edouard
47;1976;Calmos (Cool... Calm and Collected);Albert
48;1977;Nous irons tous au paradis (We Will All Meet in Paradise);Étienne Dorsay
49;1977;Le Diable dans la boîte [fr][10] (The Devil in the Box);Alain Brissot
50;1977;Le Crabe-tambour (Drummer-Crab);the Captain
51;1978;Who Is Killing the Great Chefs of Europe?;Auguste Grandvilliers
52;1979;Le Cavaleur [fr] (Practice Makes Perfect);Édouard Choiseul
53;1979;Grandison [fr][11];Carl Grandison
54;1979;French Postcards;Monsieur Tessier
55;1979;Courage - Let's Run;Martin Belhomme
56;1980;Odio le bionde (I Hate Blondes);Donald Rose
57;1980;Chère inconnue [fr] (Sent a Letter to My Love);Gilles Martin
58;1981;Un étrange voyage;Pierre
59;1981;Il faut tuer Birgitt Haas (Birgitt Haas Must Be Killed);Charles-Philippe Bauman
60;1982;Le Grand Frère (The Big Brother);Charles-Henri Rossi
61;1982;L'Indiscrétion [fr];Alain Tescique
62;1983;"Un dimanche de flic [fr][12] (""A Cops' Sunday"")";Rupert
63;1983;L'Ami de Vincent [fr] (A Friend of Vincent);Vincent Lamarre
64;1984;Réveillon chez Bob [fr];Louis Alban
65;1984;Frankenstein 90;Victor Frankenstein
66;1985;"David... Thomas et les autres[13] (""A Volley for a Black Buffalo"")";Monsieur Louis
67;1986;La Galette du roi [fr];Arnold
68;1987;Tandem;Michel Mortez
69;1987;My First Forty Years (also known as My Wonderful Life);Prince Riccio
70;1987;Le Moustachu [fr] (The Field Agent);Capitaine Duroc
71;1989;Je suis le seigneur du château (I'm the King of the Castle);Jean Bréaud
72;1990;Le Mari de la coiffeuse (The Hairdresser's Husband);Antoine
73;1990;Le Château de ma mère (My Mother's Castle);Loïs de Montmajour / Adolphe Cassignole
74;1991;"Amoureux fou (""Love Crazy"" or ""Madly in Love"")";Rudolph
75;1992;The Timekeeper;Louis XV of France
76;1992;Le Bal des casse-pieds [fr];Henri Sauveur
77;1992;L'Atlantide[14];Le Meige
78;1993;Tombés du ciel (Lost in Transit);Arturo Conti
79;1993;Tango;Bellhop
80;1993;Cible émouvante [fr] (Wild Target);Victor Meynard
81;1994;Tutti gli anni una volta l'anno (Once a Year... Every Year);Raffaele
82;1994;Prêt-à-Porter;Inspecteur Tantpis
83;1994;"La prossima volta il fuoco[15] (""Next Time the Fire"")";Amedeo
84;1995;Tom est tout seul[16];Jean-Pierre
85;1996;Ridicule;the Marquis of Bellegarde
86;1996;Palace[17];Thomas Fausto
87;1996;Never Ever;Gerard Panier
88;1996;Les Grands Ducs;Eddie Carpentier
89;1997;Barracuda [fr];Monsieur Clément
90;1998;Le Serpent a mangé la grenouille[18];Monsieur Moreau
91;1998;"Le Comte de Monte Cristo[20] (""The Count of Monte Cristo"")";Fernand de Morcerf
92;1998;"El viento se llevó lo qué [it][19] (""Wind with the Gone"")";Edgar Wexley
93;1999;Rembrandt;Nicolaes Tulp
94;2001;Le Placard;Kopel
95;2001;La Vie sans secret de Walter Nions[22];Walter Nions
96;2001;Honolulu Baby[21];Cri Cri
97;2002;Lost in La Mancha;as himself (uncredited)
98;2002;L'homme du train (The Man on the Train);Manesquier
99;2002;Blanche [fr];Cardinal Mazarin
100;2003;Les Clefs de bagnole (The Car Keys);cameo appearance
101;2003;Fanfan la tulipe;Narrator
102;2004;RRRrrrr!!!;Lucie
103;2004;Les Dalton (The Daltons);Jolly Jumper (voice)
104;2005;L'enfer (Hell);Louis
105;2005;Akoibon [fr];Chris Barnes
106;2006;Ne le dis à personne (Tell No One);Gilbert Neuville
107;2006;Désaccord parfait [fr];Louis Ruinard
108;2007;Mr. Bean's Holiday;The Head Waiter
109;2007;La clef;Joseph Arp
110;2008;J'ai toujours rêvé d'être un gangster [fr];Jean
111;2008;id - Identity of the Soul;narrator
112;2008;Agathe Cléry;Louis Guignard
113;2012;The Artist and the Model;Marc Cros
114;2012;Astérix et Obélix: Au service de sa Majesté (Asterix and Obelix: God Save Britannia);Lucius Fouinus
115;2015;Floride;Claude Lherminier
116;2015;April and the Twisted World;
